Time,Time,1 minute,0.000694444,1 hour,0.041666667,,,,,,,,,,
41559.15,10/12/2013 3:36,,,,,,,,,,,,,,
41559.15,10/12/2013 3:36,,,,,,,,,,,,,,
41559.15069,10/12/2013 3:37,,,,,,,,,,,,,,
41559.15069,10/12/2013 3:37,,,,,,,,,,,,,,
41559.15069,10/12/2013 3:37,,,,,,,,,,,,,,
41559.15208,10/12/2013 3:39,,,,,,,,,,,,,,
41559.15278,10/12/2013 3:40,,,,,,,,,,,,,,
41559.15278,10/12/2013 3:40,,,,,,,,,,,,,,
41559.15278,10/12/2013 3:40,,,,,,,,,,,,,,
41559.15278,10/12/2013 3:40,,,,,,,,,,,,,,
41559.15278,10/12/2013 3:40,,,,,,,,,,,,,,
41559.15417,10/12/2013 3:42,,,,,,,,,,,,,,
41559.15486,10/12/2013 3:43,,,,,,,,,,,,,,
41559.15486,10/12/2013 3:43,,,,,,,,,,,,,,
41559.15486,10/12/2013 3:43,,,,,,,,,,,,,,
41559.15625,10/12/2013 3:45,,,,,,,,,,,,,,
41559.15625,10/12/2013 3:45,,,,,,,,,,,,,,
41559.15625,10/12/2013 3:45,,,,,,,,,,,,,,
41559.15625,10/12/2013 3:45,,,,,,,,,,,,,,
41559.15625,10/12/2013 3:45,,,,,,,,,,,,,,
41559.15694,10/12/2013 3:46,,,,,,,,,,,,,,
41559.15694,10/12/2013 3:46,,,,,,,,,,,,,,
41559.15694,10/12/2013 3:46,,,,,,,,,,,,,,
41559.15694,10/12/2013 3:46,,,,,,,,,,,,,,
41559.15694,10/12/2013 3:46,,,,,,,,,,,,,,
41559.15764,10/12/2013 3:47,,,,,,,,,,,,,,
41559.15764,10/12/2013 3:47,,,,,,,,,,,,,,
41559.15764,10/12/2013 3:47,,,,,,,,,,,,,,
41559.15833,10/12/2013 3:48,,,,,,,,,,,,,,
41559.15972,10/12/2013 3:50,,,,,,,,,,,,,,
41559.15972,10/12/2013 3:50,,,,,,,,,,,,,,
41559.15972,10/12/2013 3:50,,,,,,,,,,,,,,
41559.15972,10/12/2013 3:50,,,,,,,,,,,,,,
41559.16181,10/12/2013 3:53,,,,,,,,,,,,,,
41559.1625,10/12/2013 3:54,,,,,,,,,,,,,,
41559.16319,10/12/2013 3:55,,,,,,,,,,,,,,
41559.16319,10/12/2013 3:55,,,,,,,,,,,,,,
41559.16319,10/12/2013 3:55,,,,,,,,,,,,,,
41559.16389,10/12/2013 3:56,,,,,,,,,,,,,,
41559.16389,10/12/2013 3:56,,,,,,,,,,,,,,
41559.16458,10/12/2013 3:57,,,,,,,,,,,,,,
41559.16528,10/12/2013 3:58,,,,,,,,,,,,,,
41559.16528,10/12/2013 3:58,,,,,,,,,,,,,,
41559.16597,10/12/2013 3:59,,,,,,,,,,,,,,
41559.16597,10/12/2013 3:59,,,,,,,,,,,,,,
41559.16597,10/12/2013 3:59,,,,,,,,,,,,,,
41559.16667,10/12/2013 4:00,,,,,,,,,,,,,,
41559.16667,10/12/2013 4:00,,,,,,,,,,,,,,
41559.16667,10/12/2013 4:00,,,,,,,,,,,,,,
41559.16667,10/12/2013 4:00,,,,,,,,,,,,,,
41559.16667,10/12/2013 4:00,,,,,,,,,,,,,,
41559.16736,10/12/2013 4:01,,,,,,,,,,,,,,
41559.16806,10/12/2013 4:02,,,,,,,,,,,,,,
41559.16875,10/12/2013 4:03,,,,,,,,,,,,,,
41559.16875,10/12/2013 4:03,,,,,,,,,,,,,,
41559.16944,10/12/2013 4:04,,,,,,,,,,,,,,
41559.16944,10/12/2013 4:04,,,,,,,,,,,,,,
41559.17014,10/12/2013 4:05,,,,,,,,,,,,,,
41559.17014,10/12/2013 4:05,,,,,,,,,,,,,,
41559.17083,10/12/2013 4:06,,,,,,,,,,,,,,
41559.17153,10/12/2013 4:07,,,,,,,,,,,,,,
41559.17153,10/12/2013 4:07,,,,,,,,,,,,,,
41559.17153,10/12/2013 4:07,,,,,,,,,,,,,,
41559.17153,10/12/2013 4:07,,,,,,,,,,,,,,
41559.17153,10/12/2013 4:07,,,,,,,,,,,,,,
41559.17222,10/12/2013 4:08,,,,,,,,,,,,,,
41559.17222,10/12/2013 4:08,,,,,,,,,,,,,,
41559.17222,10/12/2013 4:08,,,,,,,,,,,,,,
41559.17222,10/12/2013 4:08,,,,,,,,,,,,,,
41559.17222,10/12/2013 4:08,,,,,,,,,,,,,,
41559.17222,10/12/2013 4:08,,,,,,,,,,,,,,
41559.17292,10/12/2013 4:09,,,,,,,,,,,,,,
41559.17292,10/12/2013 4:09,,,,,,,,,,,,,,
41559.17292,10/12/2013 4:09,,,,,,,,,,,,,,
41559.17292,10/12/2013 4:09,,,,,,,,,,,,,,
41559.17292,10/12/2013 4:09,,,,,,,,,,,,,,
41559.17361,10/12/2013 4:10,,,,,,,,,,,,,,
41559.17431,10/12/2013 4:11,,,,,,,,,,,,,,
41559.17431,10/12/2013 4:11,,,,,,,,,,,,,,
41559.17431,10/12/2013 4:11,,,,,,,,,,,,,,
41559.175,10/12/2013 4:12,,,,,,,,,,,,,,
41559.175,10/12/2013 4:12,,,,,,,,,,,,,,
41559.175,10/12/2013 4:12,,,,,,,,,,,,,,
41559.175,10/12/2013 4:12,,,,,,,,,,,,,,
